id,order,group,location,patchType,plant,teleport,directions,paymentItem,paymentQty,growthMinutes,growthLabel,xp,inventoryItem,inventoryType,isPof,note
manor-pof,0,Player-Owned Farm,Manor Farm — Animal Pens,Regular Manor Farm pens,"Collect elders, replace animals, and refill troughs",Master farmer outfit → Manor Farm,Use the pen selector and check only the pens actually emptied and replaced.,Woad leaves · Gorajian mushrooms · raw tuna,0,0,40h / 80h / 160h,0,,none,true,Completing this step starts individual elder timers for selected Manor Farm pens. Ranch Out of Time is excluded.
manor-money,1,Special Tree,Manor Farm,Money-tree patch,"Money tree seed, only when ready and available",Master farmer outfit → Manor Farm,The money-tree patch is beside the Manor Farm activity area and bank.,None,0,2560,1d 18h 40m,60000,Money tree seed,optional,false,Optional on each run. The seed is planted directly and the tree cannot become diseased. Withdraw it from the Manor Farm bank only when this patch is ready.
brimhaven-fruit,2,Fruit Tree,Brimhaven,Carambola fruit-tree patch,Carambola sapling,Spirit tree → Brimhaven,Run west from the spirit tree to the fruit-tree patch.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
gnome-stronghold-fruit,3,Fruit Tree,Tree Gnome Stronghold,Carambola fruit-tree patch,Carambola sapling,Spirit tree → Tree Gnome Stronghold,Run east from the spirit tree to the fruit-tree patch.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,The regular-tree patch is the next step at the same destination.
gnome-stronghold-regular,4,Regular Tree,Tree Gnome Stronghold,Magic-tree patch,Magic sapling,Stay in Tree Gnome Stronghold,Run southwest from the spirit-tree area to the regular-tree patch.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
gnome-village-fruit,5,Fruit Tree,Tree Gnome Village,Carambola fruit-tree patch,Carambola sapling,Spirit tree → Tree Gnome Village,"Use the loose railing, ask Elkoy to guide you out, then run southwest.",Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
catherby-fruit,6,Fruit Tree,Catherby,Carambola fruit-tree patch,Carambola sapling,Catherby Teleport or Catherby lodestone,Run east/southeast from the lodestone to the fruit-tree patch.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
habitat-fruit,7,Fruit Tree,Herblore Habitat,Carambola fruit-tree patch,Carambola sapling,Master farmer outfit → Herblore Habitat,Run to the fruit-tree patch inside the habitat farming area.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
lletya-fruit,8,Fruit Tree,Lletya,Carambola fruit-tree patch,Carambola sapling,Tirannwn quiver 4 → Lletya,Run southeast through Lletya to the fruit-tree patch.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
meilyr-fruit,9,Fruit Tree,Prifddinas — Meilyr,Carambola fruit-tree patch,Carambola sapling,POH Seren Teleport Stone → 8. Meilyr (Prifddinas),Run north/northwest toward the fruit-tree patch.,Noted dragonfruit,7,800,13h 20m,41254.1,Carambola sapling,individual,false,
trahaearn-regular,10,Regular Tree,Prifddinas — Trahaearn,Magic-tree patch,Magic sapling,POH Seren Teleport Stone → 9. Trahaearn (Prifddinas),Run to the regular-tree patch on the outer side of the district.,Noted coconuts,23,480,8h,13913.8,Magic sapling,individual,false,
crwys-elder,11,Special Tree,Prifddinas — Crwys,Elder-tree patch,Elder sapling,POH Seren Teleport Stone → 4. Crwys (Prifddinas),Run to the elder-tree patch on the outer section of Crwys.,Noted morchella mushrooms,23,4200,70h,23463,Elder sapling,individual,false,Normally include this step only when the elder tree is ready.
